Product Title,URL,Description,Details
Sateen UNI-9241,https://textil.eu/en/p-30719/sateen-uni-9241-unicoloured-cotton-sateen-burgundy-100-cotton/,"Cotton satin is a weave that has a typically glossy finish and matt finished back.
Characteristics: The fabric is very breathable, soft, firm and pleasant to the touch.
Our high-quality printed cotton satin can be used as yardage for dresses, shirts, blouses, underwear, boxers, ties, and can also be used for making bedding, interior furnishings or upholstery.
Our satin weave materials include: Sateen, Rasatello, Bormio Vyella, Imperial, Renato.","{'Design': 'UNI-9241', 'Fabric': 'Cotton Sateen', 'Material': '100% cotton', 'Colour': 'Burgundy', 'Motive': 'Unicoloured', 'Weight': '130 gsm', 'Width': '145-150 cm', 'Thread': '51x30', 'Yarn': 'Ne 40/1', 'VAT rate': '21.0%'}"
Bormio Vyella 1480421-331,https://textil.eu/en/p-28340/bormio-vyella-1480421-331-ornaments-cotton-sateen-blue-100-cotton/,"Cotton satin is a weave that has a typically glossy finish and matt finished back.
Characteristics: The fabric is very breathable, soft, firm and pleasant to the touch.
Our high-quality printed cotton satin can be used as yardage for dresses, shirts, blouses, underwear, boxers, ties, and can also be used for making bedding, interior furnishings or upholstery.
Our satin weave materials include: Sateen, Rasatello, Bormio Vyella, Imperial, Renato.","{'Design': '1480421-331', 'Fabric': 'Cotton Sateen', 'Material': '100% cotton', 'Colour': 'Blue, Black', 'Motive': 'Ornaments', 'Weight': '130 gsm', 'Width': '142-150 cm', 'Thread': '51x30', 'Yarn': 'Ne 40/1', 'VAT rate': '21.0%'}"
Diana Soft double folded 80338-05,https://textil.eu/en/p-27671/diana-soft-double-folded-80338-05-floral-cotton-plain-green-100-cotton/,"Cotton cloth is woven with the simplest weave, made by simply crossing the warp and weft.
Characteristics: Very comfortable to wear, breathable, absorbent and firm fabric.
Our quality cotton cloth with a wide range of designs can be used to make women's dresses, shirts, blouses, trousers, overalls and bedding.
It can also be used for making fashion accessories and can be used for decorative purposes.
Our cloth weave materials include: Diana, Gloria, Glorima, Aruna.","{'Design': '80338-05', 'Fabric': 'Cotton plain', 'Material': '100% cotton', 'Colour': 'Green', 'Motive': 'Floral, Stripes', 'Weight': '145 gsm', 'Width': '135-150 cm', 'Thread': '26x22', 'Yarn': 'Ne 20/1', 'VAT rate': '21.0%'}"
Diana Acryl 1478771-621,https://textil.eu/en/p-28266/diana-acryl-1478771-621-checks-plain-acrylat-coated-matt-white-100-cotton100-acryl/,"During production, an acrylic coating is applied to cotton canvas, therefore creating a relatively flexible, waterproof and pleasant material. Prior to the acrylic coating itself, the fabric undergoes a hydrophobic treatment to prevent the acrylic product from passing through the fabric. Therefore, the acrylic coating is only applied on the front side and the structure of the cotton is preserved on the reverse side.
The fabric with an acrylic coating is easy to wash with water, it is not necessary to wash it in a washing machine. Although, if you still want to wash the fabric we recommend washing unfolded at 30 °C and very gently. The fabric lasts 20 washing cycles. Ironing only on the reverse side at a very low temperature up to 150 °C. The fabric has great colour fastness even in bad weather and long life. You will surely enjoy its easy maintenance.
Thanks to this treatment, you can use the fabric both indoors and outdoors. It can be used to make tablecloths, bags, pillows, aprons and bibs, bags for gymnastics or snacks, bags for cosmetics, cases for electronics and much more. It can also be used to renovate changing tables or dining chairs.","{'Design': '1478771-621', 'Fabric': 'Plain - ACRYLAT coated, matt', 'Material': '100% cotton/100% ACRYL', 'Colour': 'White, Pink', 'Motive': 'Checks', 'Weight': '174 gsm', 'Width': '140-150 cm', 'Thread': '26x22', 'Yarn': 'Ne 20/1', 'VAT rate': '21.0%'}"
Diana Soft 1422291-113,https://textil.eu/en/p-30523/diana-soft-1422291-113-dots-cotton-plain-white-100-cotton/,"Cotton cloth is woven with the simplest weave, made by simply crossing the warp and weft.
Characteristics: Very comfortable to wear, breathable, absorbent and firm fabric.
Our quality cotton cloth with a wide range of designs can be used to make women's dresses, shirts, blouses, trousers, overalls and bedding.
It can also be used for making fashion accessories and can be used for decorative purposes.
Our cloth weave materials include: Diana, Gloria, Glorima, Aruna.","{'Design': '1422291-113', 'Fabric': 'Cotton plain', 'Material': '100% cotton', 'Colour': 'White, Green', 'Motive': 'Dots', 'Weight': '145 gsm', 'Width': '135-150 cm', 'Thread': '26x22', 'Yarn': 'Ne 20/1', 'VAT rate': '21.0%'}"
Olbia 30476-303 A,https://textil.eu/en/p-29233/olbia-30476-303-a-ornaments-elastic-poplin-blue-97-cotton3-elastan/,Elastický popelín,"{'Design': '30476-303 A', 'Fabric': 'Elastic poplin', 'Material': '97% cotton/3% elastan', 'Colour': 'Blue, Brown', 'Motive': 'Ornaments', 'Weight': '105 gsm', 'Width': '140-150 cm', 'Thread': '53x27', 'Yarn': 'Ne 50/1', 'VAT rate': '21.0%'}"
Glorima ACRYL 1479222-06,https://textil.eu/en/p-28578/glorima-acryl-1479222-06-ornaments-plain-acrylat-coated-matt-brown-100-cotton100-acryl/,"During production, an acrylic coating is applied to cotton canvas, therefore creating a relatively flexible, waterproof and pleasant material. Prior to the acrylic coating itself, the fabric undergoes a hydrophobic treatment to prevent the acrylic product from passing through the fabric. Therefore, the acrylic coating is only applied on the front side and the structure of the cotton is preserved on the reverse side.
The fabric with an acrylic coating is easy to wash with water, it is not necessary to wash it in a washing machine. Although, if you still want to wash the fabric we recommend washing unfolded at 30 °C and very gently. The fabric lasts 20 washing cycles. Ironing only on the reverse side at a very low temperature up to 150 °C. The fabric has great colour fastness even in bad weather and long life. You will surely enjoy its easy maintenance.
Thanks to this treatment, you can use the fabric both indoors and outdoors. It can be used to make tablecloths, bags, pillows, aprons and bibs, bags for gymnastics or snacks, bags for cosmetics, cases for electronics and much more. It can also be used to renovate changing tables or dining chairs.
Big sale
The Big Sale of Wholesale Goods section will help you effectively combat high inflation and prices rising across all industries: buy printed or dyed fabrics at a bargain price, or stock up in advance on quality fabrics made of 100% cotton, stretch cotton, linen and viscose at unbeatable prices! These are common printed or dyed fabrics which we usually sell out in order to free up our wholesale textile warehouses for new trendy collections of printed and dyed fabrics, or they are leftover yardage from already sold-out collections.


If you are looking for even higher discounts or literally a price slash, please visit our Cheaper Fabrics with Small Defects section.


Textil.eu, a Czech wholesaler of printed and dyed fabrics made of cotton and linen, produced in the European Union, displays prices after registration only and recalculates prices individually according to current discounts directly for each wholesale customer upon login. Sign up to our wholesale e-shop now and contact us for information on how to save even more money and further decrease wholesale prices of printed and dyed fabrics directly for you or your company.","{'Design': '1479222-06', 'Fabric': 'Plain - ACRYLAT coated, matt', 'Material': '100% cotton/100% ACRYL', 'Colour': 'Brown, Grey', 'Motive': 'Ornaments', 'Weight': '140 gsm', 'Width': '140-145 cm', 'Thread': '31x27', 'Yarn': 'Ne 30/1', 'VAT rate': '21.0%'}"
Diana Soft UNI-9473,https://textil.eu/en/p-27444/diana-soft-uni-9473-unicoloured-cotton-plain-grey-100-cotton/,"Cotton cloth is woven with the simplest weave, made by simply crossing the warp and weft.
Characteristics: Very comfortable to wear, breathable, absorbent and firm fabric.
Our quality cotton cloth with a wide range of designs can be used to make women's dresses, shirts, blouses, trousers, overalls and bedding.
It can also be used for making fashion accessories and can be used for decorative purposes.
Our cloth weave materials include: Diana, Gloria, Glorima, Aruna.","{'Design': 'UNI-9473', 'Fabric': 'Cotton plain', 'Material': '100% cotton', 'Colour': 'Grey', 'Motive': 'Unicoloured', 'Weight': '145 gsm', 'Width': '135-150 cm', 'Thread': '26x22', 'Yarn': 'Ne 20/1', 'VAT rate': '21.0%'}"
Renoir CZ UNI-9451,https://textil.eu/en/p-29597/renoir-cz-uni-9451-unicoloured-2-ply-twill-blue-100-cotton/,Dvojmo skaný kepr,"{'Design': 'UNI-9451', 'Fabric': '2-ply twill', 'Material': '100% cotton', 'Colour': 'Blue', 'Motive': 'Unicoloured', 'Weight': '133 gsm', 'Width': '146-150 cm', 'Thread': '60x46', 'Yarn': 'Ne 100/2', 'VAT rate': '21.0%'}"
Sateen Trachten UNI-9523,https://textil.eu/en/p-30452/sateen-trachten-uni-9523-unicoloured-cotton-sateen-blue-100-cotton/,"Cotton satin is a weave that has a typically glossy finish and matt finished back.
Characteristics: The fabric is very breathable, soft, firm and pleasant to the touch.
Our high-quality printed cotton satin can be used as yardage for dresses, shirts, blouses, underwear, boxers, ties, and can also be used for making bedding, interior furnishings or upholstery.
Our satin weave materials include: Sateen, Rasatello, Bormio Vyella, Imperial, Renato.","{'Design': 'UNI-9523', 'Fabric': 'Cotton Sateen', 'Material': '100% cotton', 'Colour': 'Blue', 'Motive': 'Unicoloured', 'Weight': '130 gsm', 'Width': '145-150 cm', 'Thread': '51x30', 'Yarn': 'Ne 40/1', 'VAT rate': '21.0%'}"
