Product Title,URL,Description,Details
LIVED IN COTTON TWILL - ANTIQUE GOLD,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/lived-in-cotton-twill-antique-gold,"Your new go to has entered the chat… Introducing our Lived In Cotton Twills! Available in a range of earthy hues, this stable mid-weight twill has a more relaxed drape than other bottomweights in our collection with a soft, lived in feel and washed finish. It's the perfect fabric for making a wide range of makes such as effortless pleated trousers, cozy quilted vests, and transitional jumpsuits.","{'Content': '100% Cotton', 'Width': '149cm / 58”', 'Weight': '293-306gsm / 8.6-9.0oz', 'Opacity': 'Opaque', 'Drape': 'Softly Structured', 'Country of Origin': 'China'}"
WATER RESISTANT NYLON TWILL - BONE,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/water-resistant-nylon-twill-bone,"Be ready for any weather with our Water Resistant Nylon Twill! Rainy day-ready with a subtle crushed texture, this midweight twill boasts a softly structured drape and a smooth, dry hand. Ideal for all sorts of water-resistant outerwear, bags, & hats, this versatile twill puts in the work to keep you dry and stylish!","{'Content': '100% Nylon', 'Width': '142cm / 56”', 'Weight': '215gsm / 6.3oz', 'Opacity': 'Opaque', 'Drape': 'Softly structured', 'Country of Origin': 'China'}"
MODAL BLEND MICRO RIB KNIT - CLOVE,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/modal-blend-micro-rib-knit-clove,"Buttery soft and breathable, our Modal Blend Micro Rib Knit will be your go-to pick for all-season basics. Soft against the skin with a dreamy drape, this lightweight knit has great stretch and recovery for comfort and longevity. This micro rib is ideal for a range of makes such as summer tanks and winter base layers, alike.","{'Content': '68% TENCEL™ Modal / 26% Polyester / 6% Spandex', 'Width': '140cm / 54”', 'Weight': '250gsm / 7.2 oz', 'Opacity': 'Opaque *Please note that lighter colours may be less opaque.', 'Stretch Percentage': '4-way stretch, 60% cross-grain / 45% along grain-line', 'Drape': 'Fluid', 'Country of Origin': 'China'}"
MIDNIGHT JUNGLE LENZING™ ECOVERO™ JERSEY - GRAPHITE/AVOCADO/TEAL,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/midnight-jungle-lenzing%E2%84%A2-ecovero%E2%84%A2-jersey-graphite-avocado-teal,"Knit from a breathable blend of LENZING™ ECOVERO™ viscose fibers with a touch of spandex, this comfortable jersey boasts a smooth, thin hand and a beautifully fluid drape. Featuring a moody botanical print, this easy-wearing lightweight knit transitions well between seasons and is perfect for slinky knit dresses and relaxed loungewear sets.","{'Content': '95% LENZING™ ECOVERO™ Viscose / 5% Spandex', 'Width': '160cm / 63”', 'Weight': '200gsm / 5.9oz', 'Opacity': 'Opaque', 'Stretch Percentage': '', 'Drape': 'Fluid', 'Country of Origin': 'Turkey'}"
HEMP & ORGANIC COTTON JERSEY - CARDAMOM,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/hemp-organic-cotton-jersey-cardamom,"This easy wearing knit fabric features a subtle slubby texture and soft drape. The sustainable blend of organic cotton and hemp provides natural softness and breathability, while the added spandex gives stretch and recovery to this midweight jersey.","{'Content': '53% Hemp / 44% Organic Cotton / 3% Spandex\nWidth: 152cm / 60”\nWeight:198gsm / 5.8oz\nOpacity: Opaque *Please note lighter colours may be less opaque.\nStretch Percentage: 4-way stretch, 70% cross-grain / 50% along grain-line\nDrape: Soft\nCountry of Origin: China'}"
8.5OZ WASHED COTTON CANVAS - NATURAL,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/8-5oz-washed-cotton-canvas-natural,"Midweight with a crisp drape, this cotton canvas is super versatile and a breeze to sew. Thanks to its washed finish, this cotton canvas is soft and relaxed with a perfectly lived-in feel. At 8.5 ounces, this fabric is ideal for projects that require more heft than linen but less structure than a classic rigid canvas. Perfect for light jackets, pants, or chore coats, this versatile canvas also works well sewn up into bags and accessories.","{'Content': '100% Cotton', 'Width': '', 'Weight': '285gsm / 8.5oz', 'Opacity': 'Opaque', 'Drape': 'Structured', 'Country of Origin': 'China'}"
MEADOW CRINKLE COTTON - OLIVE/ECRU,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/meadow-crinkle-cotton-olive-ecru,"This luxe crinkle cotton features a busy floral print and a unique puckered texture similar to a classic seersucker. Feathery light with a crisp hand, this crinkle cotton has a soft, voluminous drape that is perfect for billowy blouses, statement sleeves and gathered dresses.","{'Content': '100% Cotton', 'Width': '114cm / 44”', 'Weight': '81gsm / 2.4oz', 'Opacity': 'Semi-Opaque', 'Drape': 'Soft', 'Country of Origin': 'Japan'}"
VISCOSE POPLIN - BLACK,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/viscose-poplin-black,"Lightweight and flowy, this viscose poplin is soft to the touch with a smooth hand. This affordable woven is a perfect match for gathered dresses and skirts, billowy blouses and loungewear. Available in a range of classic colours, this solid poplin is also a fantastic choice for lining lightweight garments.","{'Content': '100% Viscose', 'Width': '', 'Weight': '', 'Country of Origin': 'China'}"
ROUTE STRIPE COTTON SHIRTING - CORNFLOWER,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/route-stripe-cotton-shirting-cornflower-1,"Make way for this playful yarn-dyed stripe! With a beautiful smooth, dry hand and tight weave, this lightweight cotton shirting can be used for a range of projects from oversized button-ups & gathered dresses to comfortable loungewear-inspired sets. Stripes are 5mm wide and run parallel to selvedge.","{'Content': '100% Cotton', 'Width': '143cm / 56.5”', 'Weight': '116gsm / 3.4oz', 'Opacity': 'Semi-Opaque', 'Drape': 'Crisp', 'Country of Origin': 'China'}"
VISCOSE LINEN NOIL - BUTTERCUP,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/viscose-linen-noil-buttercup,"A perennial Blackbird favourite, our Viscose Linen Noil is a me-made wardrobe staple! Crafted from a delicious blend of viscose & linen, this midweight fabric boasts a fluid drape and uniquely slubby texture. Naturally breathable and opaque, this fabric is perfect to wear all year round, layered up during cooler months and on its own when it’s warm out. Soft to the touch with a rustic lived-in feel, we love this versatile blend for all sorts of breezy tops & shirts, flowy dresses, and swishy pants!","{'Content': '75% Viscose / 25% Linen', 'Width': '130cm / 51""', 'Weight': '230gsm / 6.8oz', 'Opacity': 'Opaque', 'Drape': 'Moderate', 'Country of Origin': 'China'}"
TRICOT FUSIBLE INTERFACING - WHITE,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/tricot-fusible-interfacing-white,"We stock high-quality garment fabrics and supplies curated for sewists, by sewists. Shipping worldwide from our warehouse in East Vancouver, Canada. Learn more about us.

Online only. Curbside pickup available at:
1236 Frances St.
Vancouver, BC
V6A 1Z5",{}
COTTON MODAL JERSEY KNIT - DUSTY JADE,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/cotton-modal-jersey-knit-dusty-jade,"Made from a blend of cotton and modal fibers, this midweight jersey is naturally soft with a lovely relaxed drape. This knit blend is fully opaque with a healthy dose of stretch which makes it ultra-versatile and comfortable to wear.","{'Content': '57.5% Cotton / 37.5% Modal / 5% Spandex\nWidth: 148cm / 58""\nWeight: 200gsm / 5.9oz\nOpacity: Opaque\nStretch: 4 way stretch, 70% cross-grain / 60% along grain-line\nDrape: Soft\nCountry of Origin: South Korea'}"
BAMBOO JERSEY KNIT - BLACK,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/bamboo-jersey-knit-black,"We stock high-quality garment fabrics and supplies curated for sewists, by sewists. Shipping worldwide from our warehouse in East Vancouver, Canada. Learn more about us.

Online only. Curbside pickup available at:
1236 Frances St.
Vancouver, BC
V6A 1Z5",{}
9OZ BRUSHED BULL DENIM - TEAK,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/9oz-brushed-bull-denim-teak,"Boasting a velvety smooth outer finish and approachable medium weight, our 9oz brushed bull denim is comfortable, versatile and a breeze to sew. It’s soft and relaxed straight off the bolt, and easy to care for, making this fabric an ideal choice for first time denim sewists.","{'Content': '100% Cotton\nWidth: 152cm / 60""\nWeight: 305gsm / 9oz\nOpacity: Opaque\nDrape: Crisp\nCountry of origin: India'}"
VISCOSE LINEN NOIL - ALABASTER,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/viscose-linen-noil-alabaster,"A perennial Blackbird favourite, our Viscose Linen Noil is a me-made wardrobe staple! Crafted from a delicious blend of viscose & linen, this midweight fabric boasts a fluid drape and uniquely slubby texture. Naturally breathable and opaque with an airy weave, this fabric is perfect to wear all year round, layered up during cooler months and on its own when it’s warm out. Soft to the touch with a rustic lived-in feel, we love this versatile blend for all sorts of breezy tops & shirts, flowy dresses and comfy loungewear makes!","{'Content': '75% Viscose / 25% Linen', 'Width': '130cm / 51""', 'Weight': 'Medium weight, 230gsm', 'Opacity': 'Semi-opaque', 'Drape': 'Moderate', 'Country of Origin': 'China'}"
SUNBURST COUNTRY ORGANIC COTTON SATEEN - PICKLE/FIRECRACKER/SKY BLUE,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/sunburst-country-organic-cotton-sateen-pickle-firecracker-sky-blue,"Add a bit of whimsy to your wardrobe with these playful prints by Australian-based designer, Ellie Whittaker! We are so thrilled to be one of the first North American stockists to carry these striking prints. Featured on a silky smooth organic cotton sateen, this lightweight woven is the perfect blend of fun and comfort with a lovely soft drape. These vibrant designs are ideal for statement blouses, billowy dresses & skirts, and luxe loungewear.","{'Content': '100% Organic Cotton', 'Width': '145cm / 57”', 'Weight': '115gsm / 3.3oz', 'Opacity': 'Opaque *Please note lighter colours may be less opaque', 'Drape': 'Soft', 'Country of Origin': 'South Korea'}"
HEMP & ORGANIC COTTON CHAMBRAY - IVORY,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/hemp-organic-cotton-chambray-ivory,"Made from a blend of hemp and organic cotton yarns, this lightweight shirting boasts a beautiful heathered look thanks to its yarn-dyed weave. This fabric has a gorgeous slubby texture and a moderate drape that makes it well suited to a variety of makes.
 
Gütermann Thread Match: Eggshell #22 (also available in 250m spool)
 
Content: 55% Hemp / 45% Organic Cotton
Width: 140cm / 55”
Weight: 129gsm / 3.8oz
Opacity: Opaque *Please note lighter colours are less opaque
Drape: Moderate
Country of Origin: China","{'Content': '55% Hemp / 45% Organic Cotton', 'Width': '140cm / 55”', 'Weight': '129gsm / 3.8oz', 'Opacity': 'Opaque', 'Drape': 'Moderate', 'Country of Origin': 'China'}"
CARNIVAL STRIPE WASHED LINEN - CELERY,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/carnival-stripe-washed-linen-celery,"Boasting a beautifully rustic look and subtle slub, this breathable lightweight linen is the definition of versatility. Treated with a washed finish to give it a comfortable, soft hand and voluminous, relaxed drape, this easy-wearing linen can be sewn up into casual button-ups, gathered dresses, airy skirts, comfy loungewear sets, and breezy robes! It is also well suited to soft home goods such as tablecloths and napkins. Stripes are 6mm wide and run parallel to selvedge.","{'Content': '100% Linen', 'Width': '138cm / 54”', 'Weight': '145gsm / 4.2oz', 'Opacity': 'Opaque', 'Drape': 'Soft', 'Country of Origin': 'China'}"
MULTI CHECK HANDWOVEN COTTON - PAPAYA/ICE BLUE/MULTI,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/multi-check-handwoven-cotton-papaya-ice-blue-multi,"Handwoven by skilled artisans in Bengal, India, this fabric was crafted using indigenous weaves and techniques. This lightweight cotton is made from yarns dyed with azo-free reactive dyes and woven together on a handloom to create its unique plaid design. Featuring a subtle textured hand and soft drape, this breezy cotton is perfect for a variety of warm weather makes like gathered dresses & tops, tiered skirts, button-ups, and loungewear, as well as quilted projects.","{'Content': '100% Cotton', 'Width': '114cm / 45”', 'Weight': '100gsm /2.9oz', 'Opacity': 'Semi-Opaque', 'Drape': 'Soft', 'Country of Origin': 'India'}"
9OZ BRUSHED BULL DENIM - OLIVE DRAB,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/9oz-brushed-bull-denim-olive-drab,"Boasting a velvety smooth outer finish and approachable medium weight, our 9oz brushed bull denim is comfortable, versatile and a breeze to sew. It’s soft and relaxed straight off the bolt, and easy to care for, making this fabric an ideal choice for first time denim sewists.","{'Content': '100% Cotton\nWidth: 152cm / 60""\nWeight: 305gsm / 9oz\nOpacity: Opaque\nDrape: Crisp\nCountry of origin: India'}"
BAMBOO JERSEY KNIT - THYME,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/bamboo-jersey-knit-thyme,"Naturally soft, this bamboo jersey is one of our most popular knit fabrics for good reason. With a smooth buttery hand and subtle lustre, this fabric is comfy against the skin and a joy to wear. This opaque jersey has a fluid drape and great recovery that makes it well suited to everything from drapey tanks to ultra-soft undies.

Gütermann Thread Match: Lima Bean #725",{}
DEADSTOCK BANDANA BABY CORD - MAROON,https://www.blackbirdfabrics.com/en-us/collections/fabric/products/deadstock-bandana-baby-cord-maroon,"With a dynamic bandana print, this micro wale cord boasts a velvety soft, brushed right side, and a classically crisp drape. Lightweight and fully opaque, this 21-wale cord is incredibly versatile and ideal for easy-wearing button-up shirts, gathered dresses, apron-style pinafores, and quilted vests & jackets.","{'Content': '100% Cotton', 'Width': '106cm / 41”', 'Weight': '146gsm / 4.3oz', 'Opacity': 'Opaque', 'Drape': 'Crisp', 'Country of Origin': 'Japan'}"
